,summary,summary_detail,id,guidislink,links,link,published,published_parsed,title,title_detail
0,"Netflix's (NASDAQ: NFLX) year so far is hard to describe by anything less than disastrous. Although the broad market is weak, the stock cratered 40%. Even though there are still no signs of bottoming, insiders, as well as activists, are starting to step in.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=nflx&region=US&lang=en-US', 'value': ""Netflix's (NASDAQ: NFLX) year so far is hard to describe by anything less than disastrous. Although the broad market is weak, the stock cratered 40%. Even though there are still no signs of bottoming, insiders, as well as activists, are starting to step in.""}",747339d6-9a06-303e-bab9-7f3d8134d53e,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/accelerated-insider-buying-ackmans-netflix-152407920.html?.tsrc=rss'}]",https://finance.yahoo.com/news/accelerated-insider-buying-ackmans-netflix-152407920.html?.tsrc=rss,"Sat, 05 Mar 2022 15:24:07 +0000","time.struct_time(tm_year=2022, tm_mon=3, tm_mday=5, tm_hour=15, tm_min=24, tm_sec=7, tm_wday=5, tm_yday=64, tm_isdst=0)",Accelerated Insider Buying Would Make Ackman's Netflix (NASDAQ:NFLX) Thesis More Credible,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=nflx&region=US&lang=en-US', 'value': ""Accelerated Insider Buying Would Make Ackman's Netflix (NASDAQ:NFLX) Thesis More Credible""}"
1,"""The Batman"" is expected to make a big splash at the box office as theaters look forward to the next big hit.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=nflx&region=US&lang=en-US', 'value': '""The Batman"" is expected to make a big splash at the box office as theaters look forward to the next big hit.'}",c4f3c287-6fc7-4cac-9931-910454e90940,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/the-batman-aims-to-nab-100-m-eyes-introduction-for-a-new-generation-145249700.html?.tsrc=rss'}]",https://finance.yahoo.com/news/the-batman-aims-to-nab-100-m-eyes-introduction-for-a-new-generation-145249700.html?.tsrc=rss,"Sat, 05 Mar 2022 14:52:49 +0000","time.struct_time(tm_year=2022, tm_mon=3, tm_mday=5, tm_hour=14, tm_min=52, tm_sec=49, tm_wday=5, tm_yday=64, tm_isdst=0)","'The Batman' aims for $100M open, eyes introduction to 'a new generation'","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=nflx&region=US&lang=en-US', 'value': ""'The Batman' aims for $100M open, eyes introduction to 'a new generation'""}"
2,"Starting this fall, there's only one place you can catch ""Saturday Night Live"" reruns.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=nflx&region=US&lang=en-US', 'value': 'Starting this fall, there\'s only one place you can catch ""Saturday Night Live"" reruns.'}",f25f1a83-0dc1-3a15-8a60-5bad5bc3cd44,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/m/f25f1a83-0dc1-3a15-8a60-5bad5bc3cd44/nbc-ditches-hulu-for-peacock%2C.html?.tsrc=rss'}]",https://finance.yahoo.com/m/f25f1a83-0dc1-3a15-8a60-5bad5bc3cd44/nbc-ditches-hulu-for-peacock%2C.html?.tsrc=rss,"Fri, 04 Mar 2022 23:48:00 +0000","time.struct_time(tm_year=2022, tm_mon=3, tm_mday=4, tm_hour=23, tm_min=48, tm_sec=0, tm_wday=4, tm_yday=63, tm_isdst=0)","NBC Ditches Hulu for Peacock, Leaving Disney Stranded Solo","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=nflx&region=US&lang=en-US', 'value': 'NBC Ditches Hulu for Peacock, Leaving Disney Stranded Solo'}"
3,"Netflix (NFLX) closed the most recent trading day at $361.73, moving -1.72% from the previous trading session.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=nflx&region=US&lang=en-US', 'value': 'Netflix (NFLX) closed the most recent trading day at $361.73, moving -1.72% from the previous trading session.'}",5e54504d-b98f-3d22-b9a9-f6849ba11d4d,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/netflix-nflx-dips-more-broader-224510643.html?.tsrc=rss'}]",https://finance.yahoo.com/news/netflix-nflx-dips-more-broader-224510643.html?.tsrc=rss,"Fri, 04 Mar 2022 22:45:10 +0000","time.struct_time(tm_year=2022, tm_mon=3, tm_mday=4, tm_hour=22, tm_min=45, tm_sec=10, tm_wday=4, tm_yday=63, tm_isdst=0)",Netflix (NFLX) Dips More Than Broader Markets: What You Should Know,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=nflx&region=US&lang=en-US', 'value': 'Netflix (NFLX) Dips More Than Broader Markets: What You Should Know'}"
4,Yahoo Finance's Dan Howley details return-to-office procedures and work-from-home plans from several of the leading tech companies.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=nflx&region=US&lang=en-US', 'value': ""Yahoo Finance's Dan Howley details return-to-office procedures and work-from-home plans from several of the leading tech companies.""}",00b9d464-e688-381d-8039-84af3316e40f,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/video/apple-workers-begin-returning-office-193137698.html?.tsrc=rss'}]",https://finance.yahoo.com/video/apple-workers-begin-returning-office-193137698.html?.tsrc=rss,"Fri, 04 Mar 2022 19:31:37 +0000","time.struct_time(tm_year=2022, tm_mon=3, tm_mday=4, tm_hour=19, tm_min=31, tm_sec=37, tm_wday=4, tm_yday=63, tm_isdst=0)",Apple workers to begin returning to the office on April 11,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=nflx&region=US&lang=en-US', 'value': 'Apple workers to begin returning to the office on April 11'}"
5,Top media companies are responding amid the ongoing crisis in Ukraine.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=nflx&region=US&lang=en-US', 'value': 'Top media companies are responding amid the ongoing crisis in Ukraine.'}",866778cf-8015-49aa-84f3-a55b738d4753,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/russia-ukraine-war-how-media-giants-are-cutting-off-russia-amid-evolving-crisis-172430537.html?.tsrc=rss'}]",https://finance.yahoo.com/news/russia-ukraine-war-how-media-giants-are-cutting-off-russia-amid-evolving-crisis-172430537.html?.tsrc=rss,"Fri, 04 Mar 2022 17:24:30 +0000","time.struct_time(tm_year=2022, tm_mon=3, tm_mday=4, tm_hour=17, tm_min=24, tm_sec=30, tm_wday=4, tm_yday=63, tm_isdst=0)",Russia-Ukraine war: How media giants are cutting off Russia as crisis evolves,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=nflx&region=US&lang=en-US', 'value': 'Russia-Ukraine war: How media giants are cutting off Russia as crisis evolves'}"
6,The move will put the company's streaming strategy more in line with those of most rivals. The tier will be available in the U.S. this year and internationally in 2023.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=nflx&region=US&lang=en-US', 'value': ""The move will put the company's streaming strategy more in line with those of most rivals. The tier will be available in the U.S. this year and internationally in 2023.""}",73826dd7-fa6b-3144-8b2a-91bbb520e626,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/m/73826dd7-fa6b-3144-8b2a-91bbb520e626/disney%2B-is-adding-an.html?.tsrc=rss'}]",https://finance.yahoo.com/m/73826dd7-fa6b-3144-8b2a-91bbb520e626/disney%2B-is-adding-an.html?.tsrc=rss,"Fri, 04 Mar 2022 16:56:00 +0000","time.struct_time(tm_year=2022, tm_mon=3, tm_mday=4, tm_hour=16, tm_min=56, tm_sec=0, tm_wday=4, tm_yday=63, tm_isdst=0)",Disney+ Is Adding an Ad-Supported Tier. Don’t Expect Netflix to Follow.,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=nflx&region=US&lang=en-US', 'value': 'Disney+ Is Adding an Ad-Supported Tier. Don’t Expect Netflix to Follow.'}"
7,"Citi Global Chief Economist Nathan Sheets and Principal Global Investors Chief Strategist Seema Shah join Yahoo Finance Live to discuss wages across the labor market, tech, energy, commodities, and inflation.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=nflx&region=US&lang=en-US', 'value': 'Citi Global Chief Economist Nathan Sheets and Principal Global Investors Chief Strategist Seema Shah join Yahoo Finance Live to discuss wages across the labor market, tech, energy, commodities, and inflation.'}",b059a28e-7824-387c-ae8e-bf1039b02587,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/video/market-strategist-commodities-geopolitical-premium-142037195.html?.tsrc=rss'}]",https://finance.yahoo.com/video/market-strategist-commodities-geopolitical-premium-142037195.html?.tsrc=rss,"Fri, 04 Mar 2022 14:20:37 +0000","time.struct_time(tm_year=2022, tm_mon=3, tm_mday=4, tm_hour=14, tm_min=20, tm_sec=37, tm_wday=4, tm_yday=63, tm_isdst=0)",Market strategist: Commodities have a ‘geopolitical premium priced in’,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=nflx&region=US&lang=en-US', 'value': 'Market strategist: Commodities have a ‘geopolitical premium priced in’'}"
8,"When Netflix (NASDAQ: NFLX) started talking about video games, investors were left pondering how that effort might play out.  The company's initial launch of mobile gaming titles last November didn't add much color to the picture, with just four simple games and no obvious long-term strategy.  Netflix has 14 mobile games and 18 interactive-video options available now, and the company just bought another game developer.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=nflx&region=US&lang=en-US', 'value': ""When Netflix (NASDAQ: NFLX) started talking about video games, investors were left pondering how that effort might play out.  The company's initial launch of mobile gaming titles last November didn't add much color to the picture, with just four simple games and no obvious long-term strategy.  Netflix has 14 mobile games and 18 interactive-video options available now, and the company just bought another game developer.""}",e7d55fdb-4deb-34c6-bccd-6f5cc859ccaa,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/m/e7d55fdb-4deb-34c6-bccd-6f5cc859ccaa/netflix%27s-gaming-ambition-is.html?.tsrc=rss'}]",https://finance.yahoo.com/m/e7d55fdb-4deb-34c6-bccd-6f5cc859ccaa/netflix%27s-gaming-ambition-is.html?.tsrc=rss,"Fri, 04 Mar 2022 11:37:00 +0000","time.struct_time(tm_year=2022, tm_mon=3, tm_mday=4, tm_hour=11, tm_min=37, tm_sec=0, tm_wday=4, tm_yday=63, tm_isdst=0)",Netflix's Gaming Ambition Is Coming Together,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=nflx&region=US&lang=en-US', 'value': ""Netflix's Gaming Ambition Is Coming Together""}"
9,Yahoo Finance's Dan Howley discusses tech companies leaving Russia amid the country's invasion of Ukraine and what it means for consumers.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=nflx&region=US&lang=en-US', 'value': ""Yahoo Finance's Dan Howley discusses tech companies leaving Russia amid the country's invasion of Ukraine and what it means for consumers.""}",6d5cfaa2-d2ca-3c9f-ad62-6a541694c436,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/video/microsoft-meta-spotify-other-tech-200815780.html?.tsrc=rss'}]",https://finance.yahoo.com/video/microsoft-meta-spotify-other-tech-200815780.html?.tsrc=rss,"Thu, 03 Mar 2022 20:08:15 +0000","time.struct_time(tm_year=2022, tm_mon=3, tm_mday=3, tm_hour=20, tm_min=8, tm_sec=15, tm_wday=3, tm_yday=62, tm_isdst=0)","Microsoft, Meta, Spotify, and other tech companies cut ties with Russia","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=nflx&region=US&lang=en-US', 'value': 'Microsoft, Meta, Spotify, and other tech companies cut ties with Russia'}"
